Time_hours,Time_minutes,Sensor,Type,Measurement
2.7777778e-5,0.0016666667,SCADA-9-Vmag,SCADA,0.987732
0.066694446,4.0016665,SCADA-9-Vmag,SCADA,0.98777544
0.13336112,8.001667,SCADA-9-Vmag,SCADA,0.987819
0.20002778,12.001667,SCADA-9-Vmag,SCADA,0.9878627
0.26669446,16.001667,SCADA-9-Vmag,SCADA,0.98790675
0.33336112,20.001667,SCADA-9-Vmag,SCADA,0.9879511
0.40002778,24.001667,SCADA-9-Vmag,SCADA,0.987996
0.46669444,28.001667,SCADA-9-Vmag,SCADA,0.9880414
0.53336114,32.001667,SCADA-9-Vmag,SCADA,0.98808753
0.6000278,36.001667,SCADA-9-Vmag,SCADA,0.98813444
0.66669446,40.001667,SCADA-9-Vmag,SCADA,0.9881822
0.7333611,44.001667,SCADA-9-Vmag,SCADA,0.9882309
0.8000278,48.001667,SCADA-9-Vmag,SCADA,0.9882807
0.86669445,52.001667,SCADA-9-Vmag,SCADA,0.9883316
0.9333611,56.001667,SCADA-9-Vmag,SCADA,0.9883839
1.0000278,60.001667,SCADA-9-Vmag,SCADA,0.9884375
1.0666945,64.00167,SCADA-9-Vmag,SCADA,0.9884924
1.1333611,68.00166,SCADA-9-Vmag,SCADA,0.98854876
1.2000278,72.00167,SCADA-9-Vmag,SCADA,0.9886062
1.2666944,76.00166,SCADA-9-Vmag,SCADA,0.98866475
1.3333611,80.00167,SCADA-9-Vmag,SCADA,0.98872405
1.4000278,84.00166,SCADA-9-Vmag,SCADA,0.9887841
1.4666945,88.00167,SCADA-9-Vmag,SCADA,0.9888447
1.5333611,92.00166,SCADA-9-Vmag,SCADA,0.98890567
1.6000278,96.00167,SCADA-9-Vmag,SCADA,0.98896694
1.6666944,100.00166,SCADA-9-Vmag,SCADA,0.9890283
1.7333611,104.00167,SCADA-9-Vmag,SCADA,0.9890896
1.8000277,108.00166,SCADA-9-Vmag,SCADA,0.9891507
1.8666945,112.00166,SCADA-9-Vmag,SCADA,0.98921144
1.933361,116.00166,SCADA-9-Vmag,SCADA,0.9892717
2.000028,120.00167,SCADA-9-Vmag,SCADA,0.98933136
2.0666945,124.00167,SCADA-9-Vmag,SCADA,0.9893902
2.133361,128.00166,SCADA-9-Vmag,SCADA,0.9894481
2.2000277,132.00166,SCADA-9-Vmag,SCADA,0.9895048
2.2666945,136.00168,SCADA-9-Vmag,SCADA,0.9895603
2.3333611,140.00166,SCADA-9-Vmag,SCADA,0.98961437
2.4000278,144.00166,SCADA-9-Vmag,SCADA,0.9896669
2.4666944,148.00166,SCADA-9-Vmag,SCADA,0.9897176
2.5333612,152.00168,SCADA-9-Vmag,SCADA,0.9897664
2.6000278,156.00166,SCADA-9-Vmag,SCADA,0.98981315
2.6666944,160.00166,SCADA-9-Vmag,SCADA,0.9898577
2.733361,164.00166,SCADA-9-Vmag,SCADA,0.9898998
2.8000278,168.00168,SCADA-9-Vmag,SCADA,0.9899394
2.8666945,172.00166,SCADA-9-Vmag,SCADA,0.9899763
2.933361,176.00166,SCADA-9-Vmag,SCADA,0.9900103
3.000028,180.00168,SCADA-9-Vmag,SCADA,0.9900413
3.0666945,184.00166,SCADA-9-Vmag,SCADA,0.9900692
3.133361,188.00166,SCADA-9-Vmag,SCADA,0.99009407
3.2000277,192.00166,SCADA-9-Vmag,SCADA,0.9901162
3.2666945,196.00168,SCADA-9-Vmag,SCADA,0.9901357
3.3333611,200.00166,SCADA-9-Vmag,SCADA,0.99015284
3.4000278,204.00166,SCADA-9-Vmag,SCADA,0.9901678
3.4666944,208.00166,SCADA-9-Vmag,SCADA,0.99018073
3.5333612,212.00168,SCADA-9-Vmag,SCADA,0.9901918
3.6000278,216.00166,SCADA-9-Vmag,SCADA,0.99020135
3.6666944,220.00166,SCADA-9-Vmag,SCADA,0.9902094
3.733361,224.00166,SCADA-9-Vmag,SCADA,0.9902163
3.8000278,228.00168,SCADA-9-Vmag,SCADA,0.99022216
3.8666945,232.00166,SCADA-9-Vmag,SCADA,0.99022716
3.933361,236.00166,SCADA-9-Vmag,SCADA,0.9902315
4.0000277,240.00166,SCADA-9-Vmag,SCADA,0.99023545
4.0666943,244.00165,SCADA-9-Vmag,SCADA,0.9902391
4.1333613,248.00168,SCADA-9-Vmag,SCADA,0.9902425
4.200028,252.00168,SCADA-9-Vmag,SCADA,0.9902456
4.2666945,256.00168,SCADA-9-Vmag,SCADA,0.9902483
4.333361,260.00168,SCADA-9-Vmag,SCADA,0.99025077
4.4000278,264.00168,SCADA-9-Vmag,SCADA,0.9902528
4.4666944,268.00165,SCADA-9-Vmag,SCADA,0.99025446
4.533361,272.00165,SCADA-9-Vmag,SCADA,0.9902557
4.6000276,276.00165,SCADA-9-Vmag,SCADA,0.99025655
4.6666946,280.00168,SCADA-9-Vmag,SCADA,0.99025685
4.7333612,284.00168,SCADA-9-Vmag,SCADA,0.9902567
4.800028,288.00168,SCADA-9-Vmag,SCADA,0.9902561
4.8666945,292.00168,SCADA-9-Vmag,SCADA,0.9902549
4.933361,296.00165,SCADA-9-Vmag,SCADA,0.99025315
5.0000277,300.00165,SCADA-9-Vmag,SCADA,0.9902508
5.0666943,304.00165,SCADA-9-Vmag,SCADA,0.99024785
5.1333613,308.00168,SCADA-9-Vmag,SCADA,0.99024403
5.200028,312.00168,SCADA-9-Vmag,SCADA,0.9902391
5.2666945,316.00168,SCADA-9-Vmag,SCADA,0.9902328
5.333361,320.00168,SCADA-9-Vmag,SCADA,0.99022496
5.4000278,324.00168,SCADA-9-Vmag,SCADA,0.99021524
5.4666944,328.00165,SCADA-9-Vmag,SCADA,0.99020344
5.533361,332.00165,SCADA-9-Vmag,SCADA,0.9901893
5.6000276,336.00165,SCADA-9-Vmag,SCADA,0.99017256
5.6666946,340.00168,SCADA-9-Vmag,SCADA,0.990153
5.7333612,344.00168,SCADA-9-Vmag,SCADA,0.99013036
5.800028,348.00168,SCADA-9-Vmag,SCADA,0.9901044
5.8666945,352.00168,SCADA-9-Vmag,SCADA,0.9900749
5.933361,356.00165,SCADA-9-Vmag,SCADA,0.99004155
6.0000277,360.00165,SCADA-9-Vmag,SCADA,0.9900041
6.0666943,364.00165,SCADA-9-Vmag,SCADA,0.98996264
6.1333613,368.00168,SCADA-9-Vmag,SCADA,0.9899179
6.200028,372.00168,SCADA-9-Vmag,SCADA,0.9898709
6.2666945,376.00168,SCADA-9-Vmag,SCADA,0.98982275
6.333361,380.00168,SCADA-9-Vmag,SCADA,0.98977447
6.4000278,384.00168,SCADA-9-Vmag,SCADA,0.9897271
6.4666944,388.00165,SCADA-9-Vmag,SCADA,0.98968166
6.533361,392.00165,SCADA-9-Vmag,SCADA,0.9896392
6.6000276,396.00165,SCADA-9-Vmag,SCADA,0.9896009
